1,6395,2.239
1,54771,2.239
1,74685,2.239
1,4326,2.2381
1,4262,2.2371
1,5198,2.2334
1,1037,2.233
1,1320,2.233
1,2364,2.233
1,2722,2.233
1,4552,2.233
1,8810,2.233
1,55232,2.233
1,86835,2.233
1,91660,2.233
1,292,2.2215
1,3032,2.2215
1,5046,2.2215
1,5944,2.2215
1,6264,2.2215
1,56921,2.2215
1,58297,2.2215
1,72378,2.2215
1,88744,2.2215
1,60471,2.2204
1,7360,2.2187
1,73268,2.2187
1,519,2.2182
1,315,2.2177
1,786,2.2177
33,681,3.3813
33,1447,3.3813
33,1501,3.3813
33,2280,3.3813
33,2425,3.3813
33,3427,3.3813
33,4279,3.3813
33,4945,3.3813
33,58904,3.3813
33,59418,3.3813
33,108949,3.3813
33,521,3.3774
33,555,3.3774
33,731,3.3774
33,832,3.3774
33,1352,3.3774
33,1472,3.3774
33,1686,3.3774
33,1785,3.3774
33,2561,3.3774
33,2605,3.3774
33,2917,3.3774
33,3529,3.3774
33,3895,3.3774
33,3896,3.3774
33,3906,3.3774
33,4354,3.3774
33,4957,3.3774
33,4963,3.3774
33,5312,3.3774
100,680,3.0882
100,1646,3.0846
100,1022,3.0835
100,72737,3.0835
100,26093,3.0806
100,63239,3.0793
100,631,3.0781
100,2092,3.0781
100,4975,3.078
100,1064,3.0751
100,953,3.0734
100,130073,3.0734
100,3612,3.0701
100,2594,3.0698
100,8963,3.0698
100,2367,3.0684
100,60516,3.0676
100,84954,3.0583
100,99917,3.0583
100,70305,3.0578
100,5127,3.057
100,27266,3.0567
100,79357,3.0567
100,1011,3.049
100,84637,3.0445
100,48,3.043
100,783,3.043
100,1907,3.043
100,74282,3.0421
100,258,3.0419
250,58303,4.2551
250,27397,4.2413
250,53737,4.2413
250,16,4.241
250,30,4.241
250,36,4.241
250,97,4.241
250,117,4.241
250,245,4.241
250,268,4.241
250,283,4.241
250,290,4.241
250,391,4.241
250,409,4.241
250,431,4.241
250,806,4.241
250,850,4.241
250,960,4.241
250,962,4.241
250,1084,4.241
250,1114,4.241
250,1213,4.241
250,1221,4.241
250,1227,4.241
250,1404,4.241
250,1466,4.241
250,1804,4.241
250,1809,4.241
250,1945,4.241
250,2112,4.241
